B.1.596,USA,Texas,12/16/2020
B.1.243,USA,Utah,1/21/2021
B.1.177.21,Denmark,Hovedstaden,1/11/2021
B.1.1.519,USA,Utah,1/14/2021
B.1.160,Denmark,Hovedstaden,11/23/2020
B.1.177.21,Denmark,Hovedstaden,12/21/2020
B.1.221,Germany,Bavaria,2/8/2021
B.1.427,USA,California,3/9/2021
B.1.160,France,Auvergne-Rhone-Alpes,11/5/2020
B.1.243,USA,Arizona,10/21/2020
B.1.1.519,USA,Ohio,3/18/2021
B.1.596,USA,Texas,12/6/2020
B.1.1.214,Japan,Tokyo,3/22/2021
B.1.596,USA,Texas,12/6/2020
B.1.427,USA,California,3/24/2021
B.1.596,USA,Arizona,3/15/2021
B.1.427,USA,California,2/23/2021
B.1.1.519,Mexico,Oaxaca,4/15/2021
B.1.177.21,Denmark,Hovedstaden,1/11/2021
B.1.596,USA,California,12/22/2020
B.1.177.21,Denmark,Hovedstaden,1/11/2021
B.1.177.21,Denmark,Sjaelland,12/14/2020
B.1.160,Sweden,Uppsala,3/5/2021
B.1.160,Canada,Quebec,11/13/2020
B.1.1.519,Denmark,Sjaelland,4/26/2021
B.1.596,USA,Massachusetts,4/12/2021
B.1.258,Greece,Attica,12/20/2020
B.1.427,USA,California,2/10/2021
B.1.596,USA,Texas,12/6/2020
B.1.160,Germany,Saarland,3/25/2021
B.1.427,USA,Oregon,4/14/2021
B.1.596,USA,Utah,3/1/2021
B.1.1.214,Japan,Tokyo,12/27/2020
B.1.221,Switzerland,Aargau,12/17/2020
B.1.177.21,Denmark,Hovedstaden,12/7/2020
B.1.1.519,Mexico,Jalisco,4/9/2021
B.1.243,USA,Texas,12/15/2020
B.1.1.519,USA,Texas,4/1/2021
B.1.221,Switzerland,Basel-Landschaft,12/28/2020
B.1.1.519,USA,Utah,4/11/2021
B.1.1.214,Japan,Tokyo,2/8/2021
B.1.1.519,USA,Alaska,3/29/2021
B.1.160,Slovenia,Gorenjska,3/22/2021
B.1.596,USA,Florida,4/15/2021
B.1.427,USA,Illinois,4/13/2021
B.1.1.519,USA,Alaska,4/25/2021
B.1.1.519,USA,Utah,3/22/2021
B.1.177.21,Denmark,Hovedstaden,1/11/2021
B.1.427,USA,Illinois,4/2/2021
B.1.1.214,Japan,Japan,1/16/2021
B.1.243,USA,Texas,12/28/2020
B.1.427,USA,California,3/1/2021
B.1.160,Denmark,Hovedstaden,1/4/2021
B.1.258,Switzerland,Aargau,12/17/2020
B.1.160,France,Normandie,3/23/2021
B.1.1.519,USA,Alaska,4/19/2021
B.1.1.214,Japan,Japan,3/11/2021
B.1.160,Germany,Bavaria,1/4/2021
B.1.427,USA,Oregon,4/6/2021
B.1.1.214,Japan,Tokyo,3/6/2021
B.1.427,USA,California,3/27/2021
B.1.221,Denmark,Midtjylland,12/28/2020
B.1.1.519,USA,Kansas,5/17/2021
B.1.1.519,Mexico,Hidalgo,4/6/2021
B.1.1.519,USA,Alaska,5/6/2021
B.1.160,Denmark,Hovedstaden,12/7/2020
B.1.221,Switzerland,Solothurn,12/18/2020
B.1.221,Greece,Attica,12/18/2020
B.1.1.519,USA,Alaska,5/6/2021
B.1.1.519,USA,Oregon,5/8/2021
B.1.596,USA,Texas,7/21/2020
B.1.177.21,Denmark,Hovedstaden,11/16/2020
B.1.1.519,USA,Georgia,4/1/2021
B.1.1.519,USA,Michigan,4/1/2021
B.1.596,USA,Texas,3/9/2021
B.1.427,USA,Michigan,4/13/2021
B.1.596,USA,Illinois,3/29/2021
B.1.177.21,Denmark,Hovedstaden,11/16/2020
B.1.1.214,Japan,Fukuoka,1/19/2021
B.1.243,USA,Nevada,12/9/2020
B.1.177.21,Denmark,Hovedstaden,12/14/2020
B.1.1.519,USA,Illinois,3/1/2021
B.1.1.519,USA,Minnesota,4/22/2021
B.1.1.519,Mexico,Sinaloa,3/14/2021
B.1.177.21,Denmark,Hovedstaden,1/11/2021
B.1.1.214,Japan,Japan,3/15/2021
B.1.1.519,USA,Florida,4/27/2021
B.1.1.519,Mexico,Puebla,4/8/2021
B.1.1.519,USA,Minnesota,3/21/2021
B.1.1.214,Japan,Yamanashi,1/4/2021
B.1.243,USA,California,12/15/2020
B.1.160,Canada,Quebec,1/10/2021
B.1.596,USA,Washington,4/5/2021
B.1.1.519,Mexico,Puebla,3/23/2021
B.1.1.519,Canada,Alberta,3/23/2021
B.1.1.519,USA,Washington,4/20/2021
B.1.1.519,USA,Ohio,4/4/2021
B.1.160,Sweden,Stockholm,2/10/2021
B.1.160,Finland,Uusimaa,1/21/2021
B.1.596,USA,Texas,12/1/2020
B.1.1.519,USA,Georgia,4/14/2021
B.1.177.21,Denmark,Hovedstaden,12/7/2020
B.1.160,Sweden,Vasterbotten,1/20/2021
B.1.258,Spain,Navarra,12/11/2020
B.1.1.519,USA,Washington,4/22/2021
B.1.177.21,Denmark,Hovedstaden,2/22/2021
